23 апр. 2025 18:08:49,855 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1201550559
23 апр. 2025 18:08:50,662 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1201550559
23 апр. 2025 18:08:50,663 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1489831627
23 апр. 2025 18:08:51,582 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@963573938
23 апр. 2025 18:08:58,242 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1787460635
23 апр. 2025 18:08:58,242 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@951966578
23 апр. 2025 18:08:58,243 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1151500525
23 апр. 2025 18:08:59,039 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@513602251
23 апр. 2025 18:08:59,044 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1718965468
23 апр. 2025 18:09:07,575 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1160822497
23 апр. 2025 18:09:11,422 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1151500525
23 апр. 2025 18:09:11,423 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1787460635
23 апр. 2025 18:09:11,423 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@951966578
23 апр. 2025 18:09:11,423 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1160822497
23 апр. 2025 18:09:11,451 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@106204097
23 апр. 2025 18:09:18,451 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1347355407
23 апр. 2025 18:09:18,471 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1347355407
23 апр. 2025 18:09:18,471 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@106204097
23 апр. 2025 18:09:18,566 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1489831627
23 апр. 2025 18:09:25,016 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@928416872
23 апр. 2025 18:09:25,020 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1364170301
23 апр. 2025 18:09:26,183 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1364170301
23 апр. 2025 18:09:26,587 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@835554579
23 апр. 2025 18:09:26,637 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1438296237
23 апр. 2025 18:09:26,702 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1438296237
23 апр. 2025 18:09:29,031 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2058508175
23 апр. 2025 18:09:31,650 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@125942693
23 апр. 2025 18:09:31,729 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@125942693
23 апр. 2025 18:09:41,925 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@1227174118
23 апр. 2025 18:10:46,665 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1227174118
23 апр. 2025 18:11:29,043 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1586944423
